word,imagefile,category,thisN,thisTrialN,thisRepN,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,text_3.started,key_resp.started,phase1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,text.started,image.started,textbox.started,button.started,fixation.stopped,trial.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,phase2.started,text_2.started,key_resp_2.started,phase2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,recalltest.started,textbox_2.started,button_2.started,recalltest.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,thankyou.started,text_4.started,thankyou.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0377356,0.0553992,0.0553992,441.3858855,space,441.3246605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
garbage bin,images/garbagebin.jpg,noun,0,0,0, noun,1,[3.3644014000019524],[3.364411899994593],0,0,0,7,441.4130713,,,,,,,,,441.4031091,441.4130713,442.3975827,442.3975827,442.3975827,442.3975827,442.4131813,445.7626957, noun,1,[3.3644014000019524],[3.364411899994593],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
peeling,images/peeling.jpg,verb,1,1,0,verb,1,[2.9326753999921493],[2.9326845000032336],0,1,1,19,445.7782064,,,,,,,,,445.7672465,445.7782064,446.7944084,446.7944084,446.7944084,446.7944084,446.7944084,449.7277239,verb,1,[2.9326753999921493],[2.9326845000032336],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
baking,images/baking.jpg,verb,2,2,0,verb,1,[2.083990699989954],[2.084000000002561],0,2,2,16,449.7432052,,,,,,,,,449.7322387,449.7432052,450.7595416,450.7595416,450.7595416,450.7595416,450.7595416,452.84432,verb,1,[2.083990699989954],[2.084000000002561],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
boiling,images/boiling.jpg,verb,3,3,0,verb,1,[2.7498213999788277],[2.749833599984413],0,3,3,14,452.8590532,,,,,,,,,452.8489841,452.8590532,453.8577159,453.8577159,453.8577159,453.8577159,453.8577159,456.6082481,verb,1,[2.7498213999788277],[2.749833599984413],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
mashing,images/mashing.jpg,verb,4,4,0,verb,1,[1.981865600013407],[1.9818748000252526],0,4,4,22,456.623291,,,,,,,,,456.6143744,456.623291,457.6243277,457.6243277,457.6243277,457.6243277,457.6243277,459.6069051,verb,1,[1.981865600013407],[1.9818748000252526],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
blending,images/blending.jpg,verb,5,5,0,verb,1,[1.8998604999796953],[1.899869499990018],0,5,5,13,459.6219667,,,,,,,,,459.6141785,459.6219667,460.6385397,460.6385397,460.6385397,460.6385397,460.6385397,462.5392455,verb,1,[1.8998604999796953],[1.899869499990018],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
garnishing,images/garnishing.jpg,verb,6,6,0,verb,1,[1.7995633999817073],[1.7995718999882229],0,6,6,21,462.5543073,,,,,,,,,462.5438905,462.5543073,463.5704695,463.5704695,463.5704695,463.5704695,463.5704695,465.3707583,verb,1,[1.7995633999817073],[1.7995718999882229],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
microwave,images/microwave.jpg,noun,7,7,0,noun,1,[2.316329399996903],[2.316340199991828],0,7,7,2,465.3866857,,,,,,,,,465.3756803,465.3866857,466.3864878,466.3864878,466.3864878,466.3864878,466.4022303,468.7035739,noun,1,[2.316329399996903],[2.316340199991828],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
jar,images/jar.jpg,noun,8,8,0,noun,1,[2.266287899983581],[2.2662982000038028],0,8,8,4,468.718256,,,,,,,,,468.70964,468.718256,469.734067,469.734067,469.734067,469.734067,469.734067,472.0010877,noun,1,[2.266287899983581],[2.2662982000038028],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
