word,imagefile,category,thisN,thisTrialN,thisRepN,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,text_3.started,key_resp.started,phase1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,text.started,image.started,textbox.started,button.started,fixation.stopped,trial.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,phase2.started,text_2.started,key_resp_2.started,phase2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,recalltest.started,textbox_2.started,button_2.started,recalltest.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,thankyou.started,text_4.started,thankyou.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart
whisking,images/whisking.jpg,verb,9,9,0,verb,1,[1.9501001999888103],[1.9501104999799281],0,9,9,18,472.0169727,,,,,,,,,472.0056573,472.0169727,473.0159017,473.0159017,473.0159017,473.0159017,473.0324824,474.966725,verb,1,[1.9501001999888103],[1.9501104999799281],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
fruit basket,images/fruitbasket.jpg,noun,10,10,0,noun,1,[2.4486950999998953],[2.448703600006411],0,10,10,11,474.9823297,,,,,,,,,474.9730951,474.9823297,475.9993867,475.9993867,475.9993867,475.9993867,475.9993867,478.4488051,noun,1,[2.4486950999998953],[2.448703600006411],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
rolling pin,images/rollingpin.jpg,noun,11,11,0,noun,1,[4.280654800008051],[4.2806659000052605],0,11,11,6,478.4640635,,,,,,,,,478.4539784,478.4640635,479.4648631,479.4648631,479.4648631,479.4648631,479.4648631,483.7462621,noun,1,[4.280654800008051],[4.2806659000052605],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
chopping,images/chopping.jpg,verb,12,12,0,verb,1,[1.8826119999866933],[1.882621199998539],0,12,12,12,483.7617733,,,,,,,,,483.7507113,483.7617733,484.7782292,484.7782292,484.7782292,484.7782292,484.7782292,486.6615941,verb,1,[1.8826119999866933],[1.882621199998539],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
frying,images/frying.jpg,verb,13,13,0,verb,1,[4.431389100005617],[4.431402599991998],0,13,13,15,486.6777692,,,,,,,,,486.6662523,486.6777692,487.6777616,487.6777616,487.6777616,487.6777616,487.6932396,492.1098621,verb,1,[4.431389100005617],[4.431402599991998],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
ice tray,images/icetray.jpg,noun,14,14,0,noun,1,[2.3654487999738194],[2.365457299980335],0,14,14,10,492.1251286,,,,,,,,,492.1149349,492.1251286,493.1416795,493.1416795,493.1416795,493.1416795,493.1416795,495.507797,noun,1,[2.3654487999738194],[2.365457299980335],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
knife,images/knife.jpg,noun,15,15,0,noun,1,[2.1164469000068493],[2.1164615000016056],0,15,15,5,495.5237122,,,,,,,,,495.5121056,495.5237122,496.5233001,496.5233001,496.5233001,496.5233001,496.5233001,498.6404469,noun,1,[2.1164469000068493],[2.1164615000016056],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
grilling,images/grilling.jpg,verb,16,16,0,verb,1,[2.765545200003544],[2.76555469998857],0,16,16,17,498.6556527,,,,,,,,,498.6464508,498.6556527,499.6723075,499.6723075,499.6723075,499.6723075,499.6723075,502.4385907,verb,1,[2.765545200003544],[2.76555469998857],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
grating,images/grating.jpg,verb,17,17,0,verb,1,[2.049420499999542],[2.0494314999959897],0,17,17,20,502.4534846,,,,,,,,,502.4444239,502.4534846,503.4699362,503.4699362,503.4699362,503.4699362,503.4699362,505.520179,verb,1,[2.049420499999542],[2.0494314999959897],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
grinding,images/grinding.jpg,verb,18,18,0,verb,1,[1.6985124999773689],[1.6985263999958988],0,18,18,23,505.5359121,,,,,,,,,505.5249671,505.5359121,506.5533566,506.5533566,506.5533566,506.5533566,506.5533566,508.2525914,verb,1,[1.6985124999773689],[1.6985263999958988],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
stove,images/stove.jpg,noun,19,19,0,noun,1,[3.048571899998933],[3.0485838999738917],0,19,19,0,508.2843259,,,,,,,,,508.2651945,508.2843259,509.2684186,509.2684186,509.2684186,509.2684186,509.2849472,512.318076,noun,1,[3.048571899998933],[3.0485838999738917],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
cooker,images/cooker.jpg,noun,20,20,0,noun,1,[2.899395699991146],[2.8994082999997772],0,20,20,3,512.349289,,,,,,,,,512.3374327,512.349289,513.3488853,513.3488853,513.3488853,513.3488853,513.3656664,516.2490093,noun,1,[2.899395699991146],[2.8994082999997772],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
dish soap,images/dishsoap.jpg,noun,21,21,0,noun,1,[2.715946999989683],[2.7159602000028826],0,21,21,9,516.2802323,,,,,,,,,516.260631,516.2802323,517.2639079,517.2639079,517.2639079,517.2639079,517.2803171,519.9807798,noun,1,[2.715946999989683],[2.7159602000028826],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
refrigerator,images/refrigerator.jpg,noun,22,22,0,,1,[3.7156733000010718],[3.715680799999973],0,22,22,1,520.6618176,,,,,,,,,520.6316694,520.6618176,521.0109358,521.0109358,521.0109358,521.0109358,,520.9803484,,1,[3.7156733000010718],[3.715680799999973],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
bottle opener,images/bottleopener.jpg,noun,23,23,0,noun,1,[2.8661633000010625],[2.866174199996749],0,23,23,8,521.0109358,,,,,,,,,521.0012765,521.0109358,522.0116468,522.0116468,522.0116468,522.0116468,522.0283526,524.8785024,noun,1,[2.8661633000010625],[2.866174199996749],,,,,,,,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.8787166,524.8944741,524.8944741,525.6612472,space,0.7531758,None,,,,,,,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.6627958,525.67747,525.67747,615.6719018," bottle opener, grating, chopping, grilling, grinding, mashing, whisking, microwave, refrigertaor, cooker, stove, boiling, frying, baking, knofe, garbage bin, fruit basket, garnishing,",0,,,,,,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.6719616,615.6890698,618.6696525,62402,20,2024-11-25_06h38.47.930,imagecondition1,2024.2.1,60.4284011,2024-11-25 06h39.01.933043 +0530
