word,imagefile,category,thisN,thisTrialN,thisRepN,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,text_3.started,key_resp.started,phase1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,text.started,image.started,textbox.started,button.started,fixation.stopped,trial.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,phase2.started,text_2.started,key_resp_2.started,phase2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,recalltest.started,textbox_2.started,button_2.started,recalltest.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.006521,0.0244547,0.0244547,2.9338863,space,2.8684295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
dish soap,images/dishsoap.jpg,noun,0,0,0, noun,1,[3.4593146999832243],[3.4593246000004],0,0,0,9,2.9644607,,,,,,,,,2.9572961,2.9644607,3.9622911,3.9622911,3.9622911,3.9622911,3.9869699,7.4222179, noun,1,[3.4593146999832243],[3.4593246000004],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
jar,images/jar.jpg,noun,1,1,0,noun,1,[2.3828474000038113],[2.3828619999985676],0,1,1,4,7.4367761,,,,,,,,,7.4287216,7.4367761,8.4527634,8.4527634,8.4527634,8.4527634,8.4695553,10.8363616,noun,1,[2.3828474000038113],[2.3828619999985676],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
microwave,images/microwave.jpg,noun,2,2,0,noun,1,[2.548613499995554],[2.5486248999950476],0,2,2,2,10.867699,,,,,,,,,10.8635796,10.867699,11.869711,11.869711,11.869711,11.869711,11.8847779,14.4190213,noun,1,[2.548613499995554],[2.5486248999950476],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
rolling pin,images/rollingpin.jpg,noun,3,3,0,noun,1,[2.1673716000223067],[2.1673856000124943],0,3,3,6,14.4504651,,,,,,,,,14.4461387,14.4504651,15.4498741,15.4498741,15.4498741,15.4498741,15.4662704,17.6179668,noun,1,[2.1673716000223067],[2.1673856000124943],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
refrigerator,images/refrigerator.jpg,noun,4,4,0,noun,1,[2.184814800013555],[2.1848230000177864],0,4,4,1,18.3318482,,,,,,,,,18.3044319,18.3318482,18.8641414,18.8641414,18.8641414,18.8641414,19.3323875,21.0497462,noun,1,[2.184814800013555],[2.1848230000177864],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
boiling,images/boiling.jpg,verb,5,5,0,verb,1,[2.1169446000130847],[2.1169567000179086],0,5,5,14,21.064284,,,,,,,,,21.0560083,21.064284,22.5297698,22.5297698,22.5297698,22.5297698,22.5297698,24.647495,verb,1,[2.1169446000130847],[2.1169567000179086],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
garbage bin,images/garbagebin.jpg,noun,6,6,0,noun,1,[2.5992413999920245],[2.5992523999884725],0,6,6,7,24.6824775,,,,,,,,,24.6787687,24.6824775,25.6620299,25.6620299,25.6620299,25.6620299,25.695896,28.2619797,noun,1,[2.5992413999920245],[2.5992523999884725],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
bottle opener,images/bottleopener.jpg,noun,7,7,0,noun,1,[2.233290800009854],[2.2332990000140853],0,7,7,8,28.2939003,,,,,,,,,28.2896668,28.2939003,29.2940567,29.2940567,29.2940567,29.2940567,29.3104964,31.5280213,noun,1,[2.233290800009854],[2.2332990000140853],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
whisking,images/whisking.jpg,verb,8,8,0,verb,1,[2.432018399995286],[2.4320264999987558],0,8,8,18,31.5588269,,,,,,,,,31.5549413,31.5588269,32.5601334,32.5601334,32.5601334,32.5601334,32.5763554,34.9928744,verb,1,[2.432018399995286],[2.4320264999987558],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
chopping,images/chopping.jpg,verb,9,9,0,verb,1,[2.748987800005125],[2.748998199997004],0,9,9,12,35.0244387,,,,,,,,,35.0194013,35.0244387,36.0081441,36.0081441,36.0081441,36.0081441,36.0253226,38.7578448,verb,1,[2.748987800005125],[2.748998199997004],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
cooker,images/cooker.jpg,noun,10,10,0,noun,1,[2.3642596999998204],[2.364271099999314],0,10,10,3,38.8061317,,,,,,,,,38.7980243,38.8061317,39.7912054,39.7912054,39.7912054,39.7912054,39.8062525,42.1561353,noun,1,[2.3642596999998204],[2.364271099999314],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
blending,images/blending.jpg,verb,11,11,0,verb,1,[2.150214599998435],[2.1502229999750853],0,11,11,13,42.1908553,,,,,,,,,42.1869632,42.1908553,43.1710166,43.1710166,43.1710166,43.1710166,43.2054958,45.3220177,verb,1,[2.150214599998435],[2.1502229999750853],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
mashing,images/mashing.jpg,verb,12,12,0,verb,1,[2.1662106000003405],[2.1662210000213236],0,12,12,22,45.3522747,,,,,,,,,45.3486071,45.3522747,46.3533202,46.3533202,46.3533202,46.3533202,46.3696991,48.5201671,verb,1,[2.1662106000003405],[2.1662210000213236],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
grinding,images/grinding.jpg,verb,13,13,0,verb,1,[2.149075499997707],[2.1490873000002466],0,13,13,23,48.5523823,,,,,,,,,48.5463431,48.5523823,49.5358478,49.5358478,49.5358478,49.5358478,49.5522456,51.6856379,verb,1,[2.149075499997707],[2.1490873000002466],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
fruit basket,images/fruitbasket.jpg,noun,14,14,0,noun,1,[5.031783699989319],[5.0317919999943115],0,14,14,11,51.7169115,,,,,,,,,51.7122134,51.7169115,52.7173309,52.7173309,52.7173309,52.7173309,52.734037,57.7497631,noun,1,[5.031783699989319],[5.0317919999943115],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
ice tray,images/icetray.jpg,noun,15,15,0,noun,1,[2.182316999998875],[2.1823260000091977],0,15,15,10,57.7809515,,,,,,,,,57.7759637,57.7809515,58.765105,58.765105,58.765105,58.765105,58.7815185,60.9481635,noun,1,[2.182316999998875],[2.1823260000091977],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
grating,images/grating.jpg,verb,16,16,0,verb,1,[3.7484213999996427],[3.74843140001758],0,16,16,20,60.9791038,,,,,,,,,60.9744355,60.9791038,61.9802398,61.9802398,61.9802398,61.9802398,61.9962076,65.729442,verb,1,[3.7484213999996427],[3.74843140001758],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
garnishing,images/garnishing.jpg,verb,17,17,0,verb,1,[2.1318379000003915],[2.1318483000213746],0,17,17,21,65.7603414,,,,,,,,,65.7554272,65.7603414,66.7622907,66.7622907,66.7622907,66.7622907,66.7782121,68.8948955,verb,1,[2.1318379000003915],[2.1318483000213746],,,,,,,,,,,,,,,,,,,,14202,19,2024-11-25_06h28.26.760,imagecondition1,2024.2.1,59.296014,2024-11-25 06h28.38.519247 +0530
