10.9850 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
11.2740 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F63A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F61F0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002974A370910>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([1280,  800]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.2742 	EXP 	window1: backgroundImage = ''
11.2742 	EXP 	window1: backgroundFit = 'none'
11.2746 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.2748 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.2786 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.2800 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.3500 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.3503 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.3515 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.3523 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002974A1F6520>
11.3708 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.3708 	EXP 	window1: recordFrameIntervals = False
11.5471 	EXP 	window1: recordFrameIntervals = True
11.7312 	EXP 	Screen (0) actual frame rate measured at 60.22Hz
11.7313 	EXP 	window1: recordFrameIntervals = False
11.7314 	EXP 	window1: mouseVisible = True
11.7471 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
15.4693 	INFO 	keyboard.Keyboard is using iohub backend.
15.4694 	INFO 	keyboard.Keyboard is using iohub backend.
15.4694 	INFO 	keyboard.Keyboard is using iohub backend.
15.4695 	EXP 	imagecondition1: status = STARTED
15.4698 	EXP 	window1: mouseVisible = True
15.5525 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.5527 	EXP 	window1: mouseVisible = True
15.5571 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
15.5572 	EXP 	window1: mouseVisible = True
15.5582 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
15.5583 	EXP 	window1: mouseVisible = True
15.5633 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0. , 0.1]), size=array([0.5, 0.3]), texRes=128.0, units='height', win=Window(...))
15.5636 	EXP 	window1: mouseVisible = True
15.5637 	EXP 	window1: mouseVisible = True
15.5645 	EXP 	window1: mouseVisible = True
15.5652 	EXP 	window1: mouseVisible = True
15.5707 	EXP 	window1: mouseVisible = True
15.5709 	EXP 	window1: mouseVisible = True
15.5718 	EXP 	window1: mouseVisible = True
15.5727 	EXP 	window1: mouseVisible = True
15.6200 	EXP 	window1: mouseVisible = True
15.6202 	EXP 	window1: mouseVisible = True
15.6210 	EXP 	window1: mouseVisible = True
15.6217 	EXP 	window1: mouseVisible = True
15.6273 	EXP 	window1: mouseVisible = True
15.6274 	EXP 	window1: mouseVisible = True
15.6282 	EXP 	window1: mouseVisible = True
15.6289 	EXP 	window1: mouseVisible = True
15.6600 	EXP 	window1: mouseVisible = True
15.6748 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
15.6751 	EXP 	window1: mouseVisible = True
15.6752 	EXP 	window1: mouseVisible = True
15.6759 	EXP 	window1: mouseVisible = True
15.6766 	EXP 	window1: mouseVisible = True
15.6813 	EXP 	window1: mouseVisible = True
15.6814 	EXP 	window1: mouseVisible = True
15.6821 	EXP 	window1: mouseVisible = True
15.6828 	EXP 	window1: mouseVisible = True
15.6875 	EXP 	window1: mouseVisible = True
15.6877 	EXP 	window1: mouseVisible = True
15.6883 	EXP 	window1: mouseVisible = True
15.6890 	EXP 	window1: mouseVisible = True
15.7110 	EXP 	window1: mouseVisible = True
15.7111 	EXP 	window1: mouseVisible = True
15.7118 	EXP 	window1: mouseVisible = True
15.7125 	EXP 	window1: mouseVisible = True
15.7174 	EXP 	window1: mouseVisible = True
