word,imagefile,category,thisN,thisTrialN,thisRepN,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,text_3.started,key_resp.started,phase1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,text.started,image.started,textbox.started,button.started,fixation.stopped,trial.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,phase2.started,text_2.started,key_resp_2.started,phase2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,recalltest.started,textbox_2.started,button_2.started,recalltest.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart
cooker,images/cooker.jpg,noun,14,14,0,noun,1,[2.3159965000000398],[2.316005300000029],0,14,14,3,54.9628718,,,,,,,,,54.9499116,54.9628718,55.9635831,55.9635831,55.9635831,55.9635831,55.9801292,58.2802917,noun,1,[2.3159965000000398],[2.316005300000029],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
jar,images/jar.jpg,noun,15,15,0,noun,1,[2.733133900000041],[2.7331431000000066],0,15,15,4,58.295674,,,,,,,,,58.2872567,58.295674,59.3119627,59.3119627,59.3119627,59.3119627,59.3119627,62.0458572,noun,1,[2.733133900000041],[2.7331431000000066],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
ice tray,images/icetray.jpg,noun,16,16,0,noun,1,[4.7811272000000145],[4.781134800000018],0,16,16,10,62.0607096,,,,,,,,,62.0506669,62.0607096,63.0606872,63.0606872,63.0606872,63.0606872,63.0606872,67.8425671,noun,1,[4.7811272000000145],[4.781134800000018],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
baking,images/baking.jpg,verb,17,17,0,verb,1,[3.0140430999999808],[3.0140526999999793],0,17,17,16,67.8587842,,,,,,,,,67.8470419,67.8587842,68.8763413,68.8763413,68.8763413,68.8763413,68.8911631,71.8911231,verb,1,[3.0140430999999808],[3.0140526999999793],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
grinding,images/grinding.jpg,verb,18,18,0,verb,1,[2.1493785999999773],[2.149385699999982],0,18,18,23,71.9061273,,,,,,,,,71.8957316,71.9061273,72.9063791,72.9063791,72.9063791,72.9063791,72.9063791,75.0565209,verb,1,[2.1493785999999773],[2.149385699999982],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
fruit basket,images/fruitbasket.jpg,noun,19,19,0,noun,1,[2.665383399999996],[2.6653921999999852],0,19,19,11,75.0711436,,,,,,,,,75.0613655,75.0711436,76.0717478,76.0717478,76.0717478,76.0717478,76.0882151,78.7378403,noun,1,[2.665383399999996],[2.6653921999999852],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
bottle opener,images/bottleopener.jpg,noun,20,20,0,noun,1,[2.1993284999999787],[2.199338599999976],0,20,20,8,78.7536219,,,,,,,,,78.742627,78.7536219,79.7369817,79.7369817,79.7369817,79.7369817,79.7533168,81.9370973,noun,1,[2.1993284999999787],[2.199338599999976],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
stove,images/stove.jpg,noun,21,21,0,noun,1,[2.1157352000000174],[2.115742800000021],0,21,21,0,81.9680325,,,,,,,,,81.9520379,81.9680325,82.9689298,82.9689298,82.9689298,82.9689298,82.9854799,85.0854296,noun,1,[2.1157352000000174],[2.115742800000021],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
rolling pin,images/rollingpin.jpg,noun,22,22,0,noun,1,[2.1335090999999693],[2.1335182999999915],0,22,22,6,85.1009337,,,,,,,,,85.0903268,85.1009337,86.1165609,86.1165609,86.1165609,86.1165609,86.1165609,88.2507313,noun,1,[2.1335090999999693],[2.1335182999999915],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
mashing,images/mashing.jpg,verb,23,23,0,verb,1,[2.965385700000013],[2.965398900000025],0,23,23,22,88.2660163,,,,,,,,,88.2554034,88.2660163,89.283031,89.283031,89.283031,89.283031,89.283031,92.249231,verb,1,[2.965385700000013],[2.965398900000025],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2494452,92.264345,92.264345,93.5654773,space,1.2926462,None,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5670804,93.5803592,93.5803592,167.8832109," dish soap, knife, fruit basket, cooker, microwave, peeling, mashing, grinding, grilling, baking, whisking, rolling pin, stove, refrigerator,bottle opener",1,[74.30185239999997],[74.30186150000003],,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.8833268,167.8986132,170.8974756,170.8817562,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
