word,imagefile,category,thisN,thisTrialN,thisRepN,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,text_3.started,key_resp.started,phase1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,text.started,image.started,textbox.started,button.started,fixation.stopped,trial.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,phase2.started,text_2.started,key_resp_2.started,phase2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,recalltest.started,textbox_2.started,button_2.started,recalltest.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0871985,0.1047104,0.1047104,1.4270049,space,1.3169578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
microwave,images/microwave.jpg,noun,0,0,0, noun,1,[2.4993868999999904],[2.499395400000026],0,0,0,2,1.4532378,,,,,,,,,1.4392081,1.4532378,2.4540846,2.4540846,2.4540846,2.4540846,2.4705855,4.9540888, noun,1,[2.4993868999999904],[2.499395400000026],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
peeling,images/peeling.jpg,verb,1,1,0,verb,1,[2.432987400000002],[2.4329981000000203],0,1,1,19,4.9694119,,,,,,,,,4.9603613,4.9694119,5.985022,5.985022,5.985022,5.985022,5.985022,8.4187458,verb,1,[2.432987400000002],[2.4329981000000203],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
boiling,images/boiling.jpg,verb,2,2,0,verb,1,[2.299454400000002],[2.2994613999999842],0,2,2,14,8.4340605,,,,,,,,,8.4247034,8.4340605,9.4499093,9.4499093,9.4499093,9.4499093,9.4499093,11.7500967,verb,1,[2.299454400000002],[2.2994613999999842],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
grating,images/grating.jpg,verb,3,3,0,verb,1,[2.299746099999993],[2.299754500000006],0,3,3,20,11.7657747,,,,,,,,,11.7549774,11.7657747,12.7658275,12.7658275,12.7658275,12.7658275,12.78161,15.066238,verb,1,[2.299746099999993],[2.299754500000006],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
dish soap,images/dishsoap.jpg,noun,4,4,0,noun,1,[2.9822290999999836],[2.9822364000000334],0,4,4,9,15.0965151,,,,,,,,,15.0782104,15.0965151,16.0972588,16.0972588,16.0972588,16.0972588,16.1133257,19.0803191,noun,1,[2.9822290999999836],[2.9822364000000334],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
refrigerator,images/refrigerator.jpg,noun,5,5,0,noun,1,[2.5553484999999796],[2.5553575000000137],0,5,5,1,19.7787073,,,,,,,,,19.75438,19.7787073,20.306658,20.306658,20.306658,20.306658,20.7787723,22.8627057,noun,1,[2.5553484999999796],[2.5553575000000137],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
grilling,images/grilling.jpg,verb,6,6,0,verb,1,[3.952268800000013],[3.952275900000018],0,6,6,17,22.8779778,,,,,,,,,22.8692977,22.8779778,24.423447,24.423447,24.423447,24.423447,24.4430061,28.3763417,verb,1,[3.952268800000013],[3.952275900000018],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
blending,images/blending.jpg,verb,7,7,0,verb,1,[4.06554090000003],[4.0655495000000315],0,7,7,13,28.391741,,,,,,,,,28.3850457,28.391741,29.391258,29.391258,29.391258,29.391258,29.4076829,33.4575588,verb,1,[4.06554090000003],[4.0655495000000315],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
garnishing,images/garnishing.jpg,verb,8,8,0,verb,1,[2.7328302000000235],[2.7328378999999927],0,8,8,21,33.4730387,,,,,,,,,33.4624266,33.4730387,34.4892151,34.4892151,34.4892151,34.4892151,34.4892151,37.2227633,verb,1,[2.7328302000000235],[2.7328378999999927],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
garbage bin,images/garbagebin.jpg,noun,9,9,0,noun,1,[2.400441600000022],[2.4004507000000217],0,9,9,7,37.253286,,,,,,,,,37.2330217,37.253286,38.2539506,38.2539506,38.2539506,38.2539506,38.2708279,40.6551768,noun,1,[2.400441600000022],[2.4004507000000217],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
knife,images/knife.jpg,noun,10,10,0,noun,1,[3.6153372999999647],[3.61534469999998],0,10,10,5,40.6699411,,,,,,,,,40.6600759,40.6699411,41.6862139,41.6862139,41.6862139,41.6862139,41.6862139,45.3022968,noun,1,[3.6153372999999647],[3.61534469999998],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
whisking,images/whisking.jpg,verb,11,11,0,verb,1,[2.2164669000000004],[2.216478199999983],0,11,11,18,45.3182058,,,,,,,,,45.3068358,45.3182058,46.317943,46.317943,46.317943,46.317943,46.3339926,48.5350834,verb,1,[2.2164669000000004],[2.216478199999983],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
chopping,images/chopping.jpg,verb,12,12,0,verb,1,[2.2652469000000224],[2.265254299999981],0,12,12,12,48.549478,,,,,,,,,48.5396173,48.549478,49.5502215,49.5502215,49.5502215,49.5502215,49.5502215,51.8162425,verb,1,[2.2652469000000224],[2.265254299999981],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
frying,images/frying.jpg,verb,13,13,0,verb,1,[2.0826453000000242],[2.082655000000045],0,13,13,15,51.8321804,,,,,,,,,51.8208786,51.8321804,52.8478952,52.8478952,52.8478952,52.8478952,52.8644371,54.9312153,verb,1,[2.0826453000000242],[2.082655000000045],,,,,,,,,,,,,,,,,,,,925110,21,2024-11-23_13h21.53.601,imagecondition1,2024.2.1,60.22017701,2024-11-23 13h22.03.648668 +0530
