10.5069 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
10.7702 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC935B0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC93550>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC933A0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F4DEE11AC0>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([1280,  800]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.7703 	EXP 	window1: backgroundImage = ''
10.7704 	EXP 	window1: backgroundFit = 'none'
10.7707 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.7709 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.7738 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.7746 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.8384 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.8386 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.8397 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.8408 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001F4DEC936D0>
10.8645 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.8645 	EXP 	window1: recordFrameIntervals = False
11.0517 	EXP 	window1: recordFrameIntervals = True
11.2510 	EXP 	Screen (0) actual frame rate measured at 60.53Hz
11.2511 	EXP 	window1: recordFrameIntervals = False
11.2511 	EXP 	window1: mouseVisible = True
11.2659 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
14.8989 	INFO 	keyboard.Keyboard is using iohub backend.
14.8990 	EXP 	wordpriming: status = STARTED
14.8994 	EXP 	window1: mouseVisible = True
14.9279 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
14.9350 	EXP 	window1: mouseVisible = True
14.9379 	EXP 	window1: mouseVisible = True
14.9380 	EXP 	window1: mouseVisible = True
14.9387 	EXP 	window1: mouseVisible = True
14.9394 	EXP 	window1: mouseVisible = True
14.9490 	EXP 	window1: mouseVisible = True
14.9491 	EXP 	window1: mouseVisible = True
14.9499 	EXP 	window1: mouseVisible = True
14.9506 	EXP 	window1: mouseVisible = True
14.9581 	EXP 	window1: mouseVisible = True
14.9582 	EXP 	window1: mouseVisible = True
14.9589 	EXP 	window1: mouseVisible = True
14.9596 	EXP 	window1: mouseVisible = True
14.9699 	EXP 	window1: mouseVisible = True
14.9700 	EXP 	window1: mouseVisible = True
14.9708 	EXP 	window1: mouseVisible = True
14.9714 	EXP 	window1: mouseVisible = True
14.9765 	EXP 	window1: mouseVisible = True
14.9805 	EXP 	window1: mouseVisible = True
14.9960 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
14.9961 	EXP 	window1: mouseVisible = True
14.9974 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
14.9977 	EXP 	window1: mouseVisible = True
14.9978 	EXP 	window1: mouseVisible = True
14.9987 	EXP 	window1: mouseVisible = True
14.9996 	EXP 	window1: mouseVisible = True
15.0053 	EXP 	window1: mouseVisible = True
15.0055 	EXP 	window1: mouseVisible = True
15.0062 	EXP 	window1: mouseVisible = True
15.0069 	EXP 	window1: mouseVisible = True
15.0474 	EXP 	window1: mouseVisible = True
