thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004984400000012101,0.024903799999947296,7.005073700000025,,,,,,,,,,,,,,SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
0,0,0,[-0.18375],[-0.28125],[1],[0],[0],[1.632484599999998],['target'],0,0,0,0,7.204088299999967,,,,,10,7.060562799999957,7.204088299999967,7.204088299999967,0.06025379999994129,8.693485200000055,[-0.18375],[-0.28125],[1],[0],[0],[1.632484599999998],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
1,0,1,[-0.47125],[-0.46625],[1],[0],[0],[1.2646960000000718],['target'],1,0,1,0,8.715403599999945,,,,,5,8.706579300000044,8.715403599999945,8.715403599999945,0.012891899999999623,9.971599399999945,[-0.47125],[-0.46625],[1],[0],[0],[1.2646960000000718],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
2,0,2,[-0.2125],[-0.30375],[1],[0],[0],[1.0702592000000095],['target'],2,0,2,0,10.00372040000002,,,,,5,9.98357390000001,10.00372040000002,10.00372040000002,0.011839999999892825,11.054121699999996,[-0.2125],[-0.30375],[1],[0],[0],[1.0702592000000095],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
3,0,3,[0.295],[0.12125],[1],[0],[0],[1.1203784999999016],['target'],3,0,3,0,11.085790599999996,,,,,5,11.066546900000048,11.085790599999996,11.085790599999996,0.01229379999995217,12.187283900000011,[0.295],[0.12125],[1],[0],[0],[1.1203784999999016],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
4,0,4,[0.01125],[-0.33875],[1],[0],[0],[1.4023618999999599],['target'],4,0,4,0,12.218634199999997,,,,,5,12.200126400000045,12.218634199999997,12.218634199999997,0.012708200000020042,13.602849399999968,[0.01125],[-0.33875],[1],[0],[0],[1.4023618999999599],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
5,0,5,[-0.2075],[-0.42],[1],[0],[0],[1.369996399999991],['target'],5,0,5,0,13.634487499999977,,,,,5,13.615302400000019,13.634487499999977,13.634487499999977,0.012311800000020412,14.985724300000015,[-0.2075],[-0.42],[1],[0],[0],[1.369996399999991],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
6,0,6,[0.4025],[0.32625],[1],[0],[0],[1.320797500000026],['target'],6,0,6,0,15.017757800000027,,,,,5,14.997627999999963,15.017757800000027,15.017757800000027,0.011765699999955359,16.318772399999943,[0.4025],[0.32625],[1],[0],[0],[1.320797500000026],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
7,0,7,[0.205],[0.46125],[1],[0],[0],[2.2174893999999767],['target'],7,0,7,0,16.349701500000037,,,,,5,16.33389269999998,16.349701500000037,16.349701500000037,0.014920299999971576,18.55174169999998,[0.205],[0.46125],[1],[0],[0],[2.2174893999999767],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
8,0,8,[-0.0675],[-0.03875],[1],[0],[0],[1.1855073000000402],['target'],8,0,8,0,18.582820800000036,,,,,5,18.565015399999993,18.582820800000036,18.582820800000036,0.013151600000014696,19.750929100000008,[-0.0675],[-0.03875],[1],[0],[0],[1.1855073000000402],['target'],SK,2024-10-10_07h16.09.125,visualsearchtask,2024.2.1,59.942766646416935,2024-10-10 07h16.24.757143 +0530,
