thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0270306000020355,0.04364320000240696,7.006233500000235,,,,,,,,,,,,,,004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
0,0,0,[0.02],[0.395],[1],[0],[0],[2.8866619000000355],['target'],0,0,0,0,7.053809100001672,,,,,10,7.038113400001748,7.053809100001672,7.053809100001672,0.037805300002219155,9.925205900002766,[0.02],[0.395],[1],[0],[0],[2.8866619000000355],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
1,0,1,[0.41625],[0.25625],[1],[0],[0],[2.2653396999994584],['target'],1,0,1,0,9.955305000003136,,,,,5,9.940457700002298,9.955305000003136,9.955305000003136,0.015046800002892269,12.206171700003324,[0.41625],[0.25625],[1],[0],[0],[2.2653396999994584],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
2,0,2,[0.0075],[0.2075],[1],[0],[0],[1.733163600001717],['target'],2,0,2,0,12.238049800002045,,,,,5,12.22147230000337,12.238049800002045,12.238049800002045,0.015142000000196276,13.954984500000137,[0.0075],[0.2075],[1],[0],[0],[1.733163600001717],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
3,0,3,[-0.1375],[-0.4625],[1],[0],[0],[2.956775499998912],['target'],3,0,3,0,13.993216500002745,,,,,10,13.98025680000137,13.993216500002745,13.993216500002745,0.025144100000034086,16.9373685999999,[-0.1375],[-0.4625],[1],[0],[0],[2.956775499998912],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
4,0,4,[0.00625],[0.21125],[1],[0],[0],[2.3554366000025766],['target'],4,0,4,0,16.97742990000188,,,,,10,16.963868400001957,16.97742990000188,16.97742990000188,0.0262975000005099,19.319655000002967,[0.00625],[0.21125],[1],[0],[0],[2.3554366000025766],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
5,0,5,[0.40125],[0.22],[1],[0],[0],[2.250839799999085],['target'],5,0,5,0,19.350711400002183,,,,,5,19.33391870000196,19.350711400002183,19.350711400002183,0.014113799999904586,21.585140300001513,[0.40125],[0.22],[1],[0],[0],[2.250839799999085],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
6,0,6,[-0.03375],[0.08125],[1],[0],[0],[1.968740500000422],['target'],6,0,6,0,21.61715220000042,,,,,5,21.59992560000319,21.61715220000042,21.61715220000042,0.014627399999881163,23.569050400001288,[-0.03375],[0.08125],[1],[0],[0],[1.968740500000422],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
7,0,7,[-0.07625],[-0.0325],[1],[0],[0],[2.2200701000001573],['target'],7,0,7,0,23.609751400003006,,,,,10,23.596865700001217,23.609751400003006,23.609751400003006,0.027653500001179054,25.817370100001426,[-0.07625],[-0.0325],[1],[0],[0],[2.2200701000001573],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
8,0,8,[-0.36],[-0.14625],[1],[0],[0],[5.304946299998846],['target'],8,0,8,0,25.855738199999905,,,,,10,25.842857000003278,25.855738199999905,25.855738199999905,0.025297200001659803,31.148172500001237,[-0.36],[-0.14625],[1],[0],[0],[5.304946299998846],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
9,0,9,[-0.4075],[0.18625],[1],[0],[0],[2.2383692000003066],['target'],9,0,9,0,31.18839310000112,,,,,10,31.17540690000169,31.18839310000112,31.18839310000112,0.027036399998905836,33.414168000002974,[-0.4075],[0.18625],[1],[0],[0],[2.2383692000003066],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
10,0,10,[-0.25625],[0.3425],[1],[0],[0],[2.785713900000701],['target'],10,0,10,0,33.44585050000023,,,,,5,33.42676030000075,33.44585050000023,33.44585050000023,0.012394499997753883,36.21287480000319,[-0.25625],[0.3425],[1],[0],[0],[2.785713900000701],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
11,0,11,[0.34],[0.48875],[1],[0],[0],[3.18947350000235],['target'],11,0,11,0,36.25151850000111,,,,,10,36.23810290000256,36.25151850000111,36.25151850000111,0.025114700001722667,39.427899199999956,[0.34],[0.48875],[1],[0],[0],[3.18947350000235],['target'],004,2024-10-10_12h19.04.873,visualsearchtask,2024.2.1,61.277964199668325,2024-10-10 12h19.33.421965 +0530,
