thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.04026100016199052,0.056959900073707104,7.0045666000805795,,,,,,,,,,,,,,003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
0,0,0,[-0.235],[-0.1],[1],[0],[0],[3.5668906001374125],['target'],0,0,0,0,7.05199269996956,,,,,10,7.035779000027105,7.05199269996956,7.05199269996956,0.03550500003620982,10.603067700052634,[-0.235],[-0.1],[1],[0],[0],[3.5668906001374125],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
1,0,1,[-0.31125],[0.45875],[1],[0],[0],[2.057061000028625],['target'],1,0,1,0,10.642232000129297,,,,,10,10.628668500110507,10.642232000129297,10.642232000129297,0.02544049988500774,12.686135000083596,[-0.31125],[0.45875],[1],[0],[0],[2.057061000028625],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
2,0,2,[0.45125],[0.3725],[1],[0],[0],[1.1509652000386268],['target'],2,0,2,0,12.716455599991605,,,,,5,12.700360200135037,12.716455599991605,12.716455599991605,0.014033999992534518,13.851730100112036,[0.45125],[0.3725],[1],[0],[0],[1.1509652000386268],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
3,0,3,[0.47],[0.32375],[1],[0],[0],[0.8021222001407295],['target'],3,0,3,0,13.883655100129545,,,,,5,13.867746599949896,13.883655100129545,13.883655100129545,0.01577619998715818,14.670195700135082,[0.47],[0.32375],[1],[0],[0],[0.8021222001407295],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
4,0,4,[-0.4325],[-0.27125],[1],[0],[0],[3.117640499956906],[None],4,0,4,0,14.71265839994885,,,,,10,14.698822200065479,14.71265839994885,14.71265839994885,0.028447899967432022,17.816809100098908,[-0.4325],[-0.27125],[1],[0],[0],[3.117640499956906],[None],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
5,0,5,[0.04625],[0.30625],[1],[0],[0],[1.8736167999450117],['target'],5,0,5,0,17.855246900115162,,,,,10,17.842444899957627,17.855246900115162,17.855246900115162,0.025488500017672777,19.71655820007436,[0.04625],[0.30625],[1],[0],[0],[1.8736167999450117],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
6,0,6,[0.4825],[-0.01625],[1],[0],[0],[1.4349875999614596],['target'],6,0,6,0,19.746909599984065,,,,,5,19.730069700162858,19.746909599984065,19.746909599984065,0.0133714999537915,21.165433099959046,[0.4825],[-0.01625],[1],[0],[0],[1.4349875999614596],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
7,0,7,[0.15125],[-0.43125],[1],[0],[0],[1.8257267998997122],['target'],7,0,7,0,21.202395200030878,,,,,10,21.188809900078923,21.202395200030878,21.202395200030878,0.023224199889227748,23.014885100070387,[0.15125],[-0.43125],[1],[0],[0],[1.8257267998997122],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
8,0,8,[-0.3275],[0.475],[1],[0],[0],[1.739009999902919],['target'],8,0,8,0,23.055147900013253,,,,,10,23.04134800005704,23.055147900013253,23.055147900013253,0.02624410018324852,24.78073770017363,[-0.3275],[0.475],[1],[0],[0],[1.739009999902919],['target'],003nutan,2024-10-04_11h37.02.739,visualsearchtask,2024.2.1,59.73362392143045,2024-10-04 11h37.16.585010 +0530,
