11.2795 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
11.5424 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021460>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021400>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021250>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021CCB15D970>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([1280,  800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.5426 	EXP 	window1: backgroundImage = ''
11.5426 	EXP 	window1: backgroundFit = 'none'
11.5432 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.5434 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.5470 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.5481 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.6183 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.6185 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.6194 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.6202 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021CCB021580>
11.6390 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.6391 	EXP 	window1: recordFrameIntervals = False
11.8128 	EXP 	window1: recordFrameIntervals = True
11.9989 	EXP 	Screen (0) actual frame rate measured at 59.47Hz
11.9990 	EXP 	window1: recordFrameIntervals = False
11.9991 	EXP 	window1: mouseVisible = True
12.0150 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
15.7394 	INFO 	keyboard.Keyboard is using iohub backend.
15.7394 	INFO 	keyboard.Keyboard is using iohub backend.
15.7394 	EXP 	delaydiscounting: status = STARTED
15.7397 	EXP 	window1: mouseVisible = True
15.7442 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
15.7444 	EXP 	window1: mouseVisible = True
15.7733 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0613 	EXP 	Imported C:/Users/User/Desktop/AU/SEM5/PSY310/discounting.xlsx as conditions, 7 conditions, 3 params
0.0625 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1133 	EXP 	text: height = 0.05
0.1133 	EXP 	text: height = 0.05
0.1133 	EXP 	text: height = 0.05
0.1133 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
0.1133 	EXP 	fixation: autoDraw = True
1.0050 	INFO 	Keyboard events cleared
1.0046 	EXP 	text: autoDraw = True
1.1214 	EXP 	fixation: autoDraw = False
19.4025 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
19.4084 	DATA 	Keypress: l
19.4286 	EXP 	fixation: autoDraw = False
19.4286 	EXP 	text: autoDraw = False
19.4286 	EXP 	text: height = 0.05
19.4286 	EXP 	text: height = 0.05
19.4286 	EXP 	text: height = 0.05
19.4286 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
19.4286 	EXP 	fixation: autoDraw = True
20.4143 	INFO 	Keyboard events cleared
20.4138 	EXP 	text: autoDraw = True
20.4289 	EXP 	fixation: autoDraw = False
32.0924 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
32.0987 	DATA 	Keypress: l
32.1064 	EXP 	fixation: autoDraw = False
32.1064 	EXP 	text: autoDraw = False
32.1064 	EXP 	text: height = 0.05
32.1064 	EXP 	text: height = 0.05
32.1064 	EXP 	text: height = 0.05
