word,category,thisN,thisTrialN,thisRepN,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,instruction1.started,key_resp_2.started,phase1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,semantic_processing.started,fixation.started,textbox.started,button_2.started,fixation.stopped,semantic_processing.stopped,trials.textbox.text,trials.button_2.numClicks,trials.button_2.timesOn,trials.button_2.timesOff,phase2.started,instruction2.started,key_resp.started,phase2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,recalltest.started,textbox_2.started,button.started,recalltest.stopped,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,thankyoutext.started,thankyou.stopped,participant,age,school,sex,condition,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.004595699999299541,0.022730599999704282,0.022730599999704282,0.8933882999999696,space,0.852176800000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
grating,verb,0,0,0, verb,1,[2.682844500000101],[2.682858500000293],0,0,0,20,0.9195702999995774,,,,,,,,,0.9050602999996045,0.9195702999995774,1.9023275999998077,1.9023275999998077,1.9191293999992922,4.58598929999971, verb,1,[2.682844500000101],[2.682858500000293],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
microwave,noun,1,1,0,noun,1,[2.6349299000003157],[2.6349373000002743],0,1,1,2,4.601403599999685,,,,,,,,,4.588823499999307,4.601403599999685,5.60120089999964,5.60120089999964,5.60120089999964,8.236818299999868,noun,1,[2.6349299000003157],[2.6349373000002743],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
frying,verb,2,2,0,verb,1,[2.1999002000002292],[2.199910700000146],0,2,2,15,8.25148050000007,,,,,,,,,8.239220399999795,8.25148050000007,9.251155399999334,9.251155399999334,9.251155399999334,11.451813699999548,verb,1,[2.1999002000002292],[2.199910700000146],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
garnishing,verb,3,3,0,verb,1,[2.2494471999998495],[2.249456200000168],0,3,3,21,11.466802599999937,,,,,,,,,11.454682799999318,11.466802599999937,12.466335600000093,12.466335600000093,12.466335600000093,14.716485199999624,verb,1,[2.2494471999998495],[2.249456200000168],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
whisking,verb,4,4,0,verb,1,[2.1492436999997153],[2.1492535999996107],0,4,4,18,14.732183000000077,,,,,,,,,14.719233599999825,14.732183000000077,15.732086699999854,15.732086699999854,15.732086699999854,17.881938499999706,verb,1,[2.1492436999997153],[2.1492535999996107],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
baking,verb,5,5,0,verb,1,[2.0999762999999803],[2.099986700000045],0,5,5,16,17.89718569999968,,,,,,,,,17.884765799999514,17.89718569999968,18.896945399999822,18.896945399999822,18.896945399999822,20.997444699999505,verb,1,[2.0999762999999803],[2.099986700000045],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
dish soap,noun,6,6,0,noun,1,[2.832716900000378],[2.832726800000273],0,6,6,9,21.012677300000178,,,,,,,,,21.000250899999628,21.012677300000178,22.012557999999444,22.012557999999444,22.012557999999444,24.84590990000015,noun,1,[2.832716900000378],[2.832726800000273],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
mashing,verb,7,7,0,verb,1,[2.599429300000338],[2.599440300000424],0,7,7,22,24.861002099999496,,,,,,,,,24.849415199999385,24.861002099999496,25.860637799999495,25.860637799999495,25.860637799999495,28.46067200000016,verb,1,[2.599429300000338],[2.599440300000424],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
garbage bin,noun,8,8,0,noun,1,[2.6492027000003873],[2.649209900000642],0,8,8,7,28.476020699999935,,,,,,,,,28.46336799999972,28.476020699999935,29.475912399999288,29.475912399999288,29.475912399999288,32.1256999999996,noun,1,[2.6492027000003873],[2.649209900000642],,,,,,,,,,,,,,,,,,,829483,20,,,,2024-11-23_14h23.14.544,labsoloproject,2024.2.1,60.61517124987193,2024-11-23 14h23.31.019269 +0530,
