22.7015 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
22.7141 	WARNING 	User requested fullscreen with size [1280  800], but screen is actually [1920, 1200]. Using actual size
22.9570 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C23A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C21F0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000163751EFBE0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.9571 	EXP 	window1: backgroundImage = ''
22.9572 	EXP 	window1: backgroundFit = 'none'
22.9574 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
22.9576 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
22.9620 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
22.9628 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
23.0499 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
23.0501 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
23.0510 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
23.0518 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000163750C2520>
23.0739 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.0739 	EXP 	window1: recordFrameIntervals = False
23.4449 	EXP 	window1: recordFrameIntervals = True
23.6285 	EXP 	Screen (0) actual frame rate measured at 59.92Hz
23.6286 	EXP 	window1: recordFrameIntervals = False
23.6287 	EXP 	window1: mouseVisible = True
27.2638 	INFO 	keyboard.Keyboard is using iohub backend.
27.2639 	INFO 	keyboard.Keyboard is using iohub backend.
