word,category,thisN,thisTrialN,thisRepN,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,instruction1.started,key_resp_2.started,phase1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,semantic_processing.started,fixation.started,textbox.started,button_2.started,fixation.stopped,semantic_processing.stopped,trials.textbox.text,trials.button_2.numClicks,trials.button_2.timesOn,trials.button_2.timesOff,phase2.started,instruction2.started,key_resp.started,phase2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,recalltest.started,textbox_2.started,button.started,recalltest.stopped,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,thankyoutext.started,thankyou.stopped,participant,age,school,sex,condition,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.004437999974470586,0.0216340999759268,0.0216340999759268,2.8584831999905873,space,2.8185616999980994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
jar,noun,0,0,0, noun,1,[2.468611799995415],[2.468619999999646],0,0,0,4,2.8861635999928694,,,,,,,,,2.8716973999980837,2.8861635999928694,3.869518799998332,3.869518799998332,3.8884578999713995,6.338706399983494, noun,1,[2.468611799995415],[2.468619999999646],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
frying,verb,1,1,0,verb,1,[2.429898600006709],[2.429907000012463],0,1,1,15,6.354195799998706,,,,,,,,,6.341234899999108,6.354195799998706,7.354163299984066,7.354163299984066,7.354163299984066,9.784547199989902,verb,1,[2.429898600006709],[2.429907000012463],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
peeling,verb,2,2,0,verb,1,[1.832349799980875],[1.8323602000018582],0,2,2,19,9.800687899987679,,,,,,,,,9.786975699971663,9.800687899987679,10.800199899997097,10.800199899997097,10.800199899997097,12.633171499997843,verb,1,[1.832349799980875],[1.8323602000018582],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
ice tray,noun,3,3,0,noun,1,[2.382663299998967],[2.3826718000054825],0,3,3,10,12.648922099993797,,,,,,,,,12.635863199975574,12.648922099993797,13.648138599994127,13.648138599994127,13.648138599994127,16.03147469999385,noun,1,[2.382663299998967],[2.3826718000054825],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
microwave,noun,4,4,0,noun,1,[2.415007399977185],[2.4150154999806546],0,4,4,2,16.0473763999762,,,,,,,,,16.034187799989013,16.0473763999762,17.04768150000018,17.04768150000018,17.04768150000018,19.463325399992755,noun,1,[2.415007399977185],[2.4150154999806546],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
fruit basket,noun,5,5,0,noun,1,[2.4662441999826115],[2.466254500002833],0,5,5,11,19.47912889998406,,,,,,,,,19.46664279999095,19.47912889998406,20.478776299976744,20.478776299976744,20.478776299976744,22.94578919999185,noun,1,[2.4662441999826115],[2.466254500002833],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
garbage bin,noun,6,6,0,noun,1,[2.2821424000139814],[2.282152400002815],0,6,6,7,22.9612696999975,,,,,,,,,22.949380399979418,22.9612696999975,23.9610445999715,23.9610445999715,23.9610445999715,26.243933399993693,noun,1,[2.2821424000139814],[2.282152400002815],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
mashing,verb,7,7,0,verb,1,[2.132211100019049],[2.132219699997222],0,7,7,22,26.25987329997588,,,,,,,,,26.24674039997626,26.25987329997588,27.25952029999462,27.25952029999462,27.25952029999462,29.39240859998972,verb,1,[2.132211100019049],[2.132219699997222],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
dish soap,noun,8,8,0,noun,1,[2.0992469000048004],[2.0992569999943953],0,8,8,9,29.409184799995273,,,,,,,,,29.395405699993717,29.409184799995273,30.40817659997265,30.40817659997265,30.42474749998655,32.50804519999656,noun,1,[2.0992469000048004],[2.0992569999943953],,,,,,,,,,,,,,,,,,,384927,20,,,,2024-11-25_06h55.19.884,labsoloproject,2024.2.1,59.78737219566908,2024-11-25 06h55.39.882392 +0530,
