word,category,thisN,thisTrialN,thisRepN,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,instruction1.started,key_resp_2.started,phase1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,semantic_processing.started,fixation.started,textbox.started,button_2.started,fixation.stopped,semantic_processing.stopped,trials.textbox.text,trials.button_2.numClicks,trials.button_2.timesOn,trials.button_2.timesOff,phase2.started,instruction2.started,key_resp.started,phase2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,recalltest.started,textbox_2.started,button.started,recalltest.stopped,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,thankyoutext.started,thankyou.stopped,participant,age,school,sex,condition,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.004948299989337102,0.021914000011747703,0.021914000011747703,0.9758012999955099,space,0.9345128999848384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
frying,verb,0,0,0, verb,1,[3.0347592000034638],[3.034768499986967],0,0,0,15,1.0041704000032041,,,,,,,,,0.9894109000160825,1.0041704000032041,1.9866650000039954,1.9866650000039954,2.00346159999026,5.0220367000147235, verb,1,[3.0347592000034638],[3.034768499986967],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
fruit basket,noun,1,1,0,noun,1,[2.6320830000040587],[2.632093199994415],0,1,1,11,5.037335600005463,,,,,,,,,5.026158900000155,5.037335600005463,6.037581100012176,6.037581100012176,6.037581100012176,8.670263100008015,noun,1,[2.6320830000040587],[2.632093199994415],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
baking,verb,2,2,0,verb,1,[1.8830854000116233],[1.8830943999928422],0,2,2,16,8.68615610001143,,,,,,,,,8.67297429998871,8.68615610001143,9.685670700011542,9.685670700011542,9.685670700011542,11.569465800013859,verb,1,[1.8830854000116233],[1.8830943999928422],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
whisking,verb,3,3,0,verb,1,[1.9498246999864932],[1.9498344000021461],0,3,3,18,11.584857300011208,,,,,,,,,11.572808299999451,11.584857300011208,12.58425770001486,12.58425770001486,12.58425770001486,14.53461669999524,verb,1,[1.9498246999864932],[1.9498344000021461],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
jar,noun,4,4,0,noun,1,[2.116293700004462],[2.1163026000140235],0,4,4,4,14.550024299998768,,,,,,,,,14.538425900012953,14.550024299998768,15.54962780000642,15.54962780000642,15.54962780000642,17.666577299998607,noun,1,[2.116293700004462],[2.1163026000140235],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
chopping,verb,5,5,0,verb,1,[2.066334700008156],[2.0663472000160255],0,5,5,12,17.682026399997994,,,,,,,,,17.668891200009966,17.682026399997994,18.681916100002127,18.681916100002127,18.681916100002127,20.749045700009447,verb,1,[2.066334700008156],[2.0663472000160255],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
garbage bin,noun,6,6,0,noun,1,[2.3993000999907963],[2.3993105000117794],0,6,6,7,20.763934199989308,,,,,,,,,20.75301529999706,20.763934199989308,21.763943600002676,21.763943600002676,21.763943600002676,24.163965699990513,noun,1,[2.3993000999907963],[2.3993105000117794],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
microwave,noun,7,7,0,noun,1,[2.482711199991172],[2.482719799998449],0,7,7,2,24.179246000014246,,,,,,,,,24.168096700013848,24.179246000014246,25.179078699991805,25.179078699991805,25.179078699991805,27.662415800004965,noun,1,[2.482711199991172],[2.482719799998449],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
knife,noun,8,8,0,noun,1,[2.2326766999904066],[2.2326864000060596],0,8,8,5,27.67756810001447,,,,,,,,,27.664749999996275,27.67756810001447,28.67785800001002,28.67785800001002,28.67785800001002,30.911134399997536,noun,1,[2.2326766999904066],[2.2326864000060596],,,,,,,,,,,,,,,,,,,264827,20,,,,2024-11-25_06h50.56.602,labsoloproject,2024.2.1,59.91672773246677,2024-11-25 06h51.18.278809 +0530,
