17.4468 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
17.4643 	WARNING 	User requested fullscreen with size [1280  800], but screen is actually [1920, 1200]. Using actual size
17.7226 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE33D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE3370>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE31C0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026AD0D60BB0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.7228 	EXP 	window1: backgroundImage = ''
17.7228 	EXP 	window1: backgroundFit = 'none'
17.7234 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.7236 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.7283 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.7294 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.8196 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.8198 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.8210 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.8219 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026AD0BE34F0>
17.8434 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.8434 	EXP 	window1: recordFrameIntervals = False
18.1726 	EXP 	window1: recordFrameIntervals = True
18.5214 	EXP 	Screen (0) actual frame rate measured at 60.62Hz
18.5215 	EXP 	window1: recordFrameIntervals = False
18.5217 	EXP 	window1: mouseVisible = True
22.1901 	INFO 	keyboard.Keyboard is using iohub backend.
22.1902 	INFO 	keyboard.Keyboard is using iohub backend.
22.1902 	INFO 	keyboard.Keyboard is using iohub backend.
22.1902 	EXP 	labsoloproject: status = STARTED
22.1906 	EXP 	window1: mouseVisible = True
22.3040 	EXP 	Created instruction1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instruction1', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.3042 	EXP 	window1: mouseVisible = True
22.3086 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
22.3087 	EXP 	window1: mouseVisible = True
22.3096 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
22.3099 	EXP 	window1: mouseVisible = True
22.3100 	EXP 	window1: mouseVisible = True
22.3109 	EXP 	window1: mouseVisible = True
22.3117 	EXP 	window1: mouseVisible = True
22.3172 	EXP 	window1: mouseVisible = True
22.3173 	EXP 	window1: mouseVisible = True
22.3180 	EXP 	window1: mouseVisible = True
22.3188 	EXP 	window1: mouseVisible = True
22.3684 	EXP 	window1: mouseVisible = True
22.3685 	EXP 	window1: mouseVisible = True
22.3693 	EXP 	window1: mouseVisible = True
22.3699 	EXP 	window1: mouseVisible = True
22.4048 	EXP 	window1: mouseVisible = True
22.4049 	EXP 	window1: mouseVisible = True
22.4056 	EXP 	window1: mouseVisible = True
22.4063 	EXP 	window1: mouseVisible = True
22.4461 	EXP 	window1: mouseVisible = True
22.4648 	EXP 	Created instruction2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instruction2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.4651 	EXP 	window1: mouseVisible = True
22.4652 	EXP 	window1: mouseVisible = True
22.4660 	EXP 	window1: mouseVisible = True
22.4668 	EXP 	window1: mouseVisible = True
22.4717 	EXP 	window1: mouseVisible = True
22.4718 	EXP 	window1: mouseVisible = True
