20.9568 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
20.9690 	WARNING 	User requested fullscreen with size [1280  800], but screen is actually [1920, 1200]. Using actual size
21.2289 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A868423A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A868421F0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020A8697FBE0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.2290 	EXP 	window1: backgroundImage = ''
21.2291 	EXP 	window1: backgroundFit = 'none'
21.2296 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.2299 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.2347 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.2359 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.3217 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.3218 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.3227 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.3235 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A86842520>
21.3462 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.3463 	EXP 	window1: recordFrameIntervals = False
21.6271 	EXP 	window1: recordFrameIntervals = True
21.8113 	EXP 	Screen (0) actual frame rate measured at 59.79Hz
21.8114 	EXP 	window1: recordFrameIntervals = False
21.8116 	EXP 	window1: mouseVisible = True
25.4560 	INFO 	keyboard.Keyboard is using iohub backend.
25.4561 	INFO 	keyboard.Keyboard is using iohub backend.
25.4561 	INFO 	keyboard.Keyboard is using iohub backend.
25.4562 	EXP 	labsoloproject: status = STARTED
25.4565 	EXP 	window1: mouseVisible = True
